,Latitude,Longitude,HydroSHEDS_ID,Aridity,Evaporative_index,Elevation,Slope,NDVI
241,45.6031,-68.9027,7050038810,0.09823095,0.202493327,229.8585,3.206,0.675
242,-17.1929,13.4894,1050018120,0.315541105,0.375063336,1022.8034,5.6678,0.342
243,37.3946,34.8396,2050001320,0.14338601,0.307009414,1127.4495,11.5761,0.383
244,27.4418,23.2523,1050040600,4.664068692,1.09746922,194.1924,1.9203,0.092
245,29.1142,89.5491,4050786650,0.470504958,0.259763939,4838.6728,16.1067,0.176
246,36.2704,96.0035,4050050270,0.591375107,0.340022145,3629.5322,8.0196,0.097
247,7.7441,100.7294,4050018370,0.076279853,0.253604665,183.1386,7.4257,0.728
248,39.917,119.3043,4050006940,0.185561541,0.379551141,133.3884,5.8435,0.276
249,-15.2396,166.8747,5050055950,0.071396305,0.289561201,268.1514,10.533,0.488
250,64.4023,-20.2529,2050059310,0.045660488,0.050145047,495.2687,4.5353,0.23
